ID,Name,City,Gender,Hight,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Constitution
202092,Roy,Shanghai,female,161.0,77.0,87.0,87.0,72.0,89.0,70.0,100.0,70.0,80.0,0.0,40.0
202090,Vera,Beijing,boy,172.0,74.0,84.0,76.0,84.0,91.0,100.0,60.0,70.0,80.0,0.0,80.0
202019,Stanley,Guangzhou,girl,163.0,83.0,83.0,89.0,70.0,89.0,80.0,60.0,60.0,60.0,0.0,40.0
202017,Dolores,Shanghai,boy,168.0,82.0,86.0,86.0,75.0,87.0,90.0,50.0,100.0,90.0,0.0,60.0
202018,Sierra,Shanghai,boy,161.0,77.0,93.0,79.0,79.0,89.0,50.0,80.0,100.0,100.0,0.0,80.0
202015,Josephine,Shanghai,male,175.0,77.0,70.0,86.0,86.0,89.0,100.0,90.0,80.0,70.0,0.0,100.0
202016,Rebecca,Guangzhou,girl,160.0,81.0,79.0,85.0,59.0,86.0,100.0,100.0,80.0,80.0,0.0,60.0
202024,Teresa,Shenzhen,boy,163.0,79.0,59.0,83.0,69.0,93.0,70.0,100.0,90.0,60.0,0.0,60.0
202025,Victoria,Shenzhen,girl,153.0,81.0,84.0,91.0,63.0,91.0,90.0,80.0,90.0,80.0,0.0,60.0
202022,Megan,Shenzhen,girl,160.0,76.0,78.0,87.0,68.0,86.0,70.0,100.0,100.0,60.0,0.0,60.0
202023,Duke,Shanghai,boy,167.0,75.0,66.0,86.0,71.0,90.0,60.0,60.0,100.0,80.0,0.0,40.0
202020,Hank,Beijing,male,177.0,75.0,60.0,87.0,66.0,88.0,90.0,60.0,100.0,50.0,0.0,60.0
202021,Adelaide,Beijing,girl,147.0,83.0,82.0,87.0,71.0,89.0,50.0,100.0,100.0,70.0,0.0,80.0
202028,Jeffery,Shanghai,boy,171.0,81.0,81.0,88.0,65.0,89.0,60.0,80.0,60.0,40.0,0.0,80.0
202029,June,Shenzhen,boy,166.0,81.0,67.0,87.0,75.0,92.0,70.0,80.0,80.0,70.0,0.0,60.0
202026,Donna,Shenzhen,boy,166.0,74.0,84.0,85.0,69.0,91.0,50.0,60.0,100.0,50.0,0.0,80.0
202027,Angelina,Beijing,boy,164.0,79.0,54.0,86.0,70.0,89.0,50.0,80.0,100.0,90.0,0.0,80.0
202036,Mickey,Guangzhou,girl,152.0,83.0,83.0,86.0,55.0,91.0,70.0,90.0,100.0,70.0,0.0,60.0
202033,Pamela,Shanghai,boy,167.0,84.0,74.0,84.0,66.0,93.0,100.0,50.0,70.0,60.0,0.0,60.0
202034,Selina,Shanghai,girl,161.0,81.0,91.0,81.0,68.0,91.0,90.0,90.0,90.0,90.0,0.0,80.0
202031,Editha,Guangzhou,girl,160.0,86.0,88.0,83.0,72.0,92.0,80.0,100.0,70.0,50.0,0.0,80.0
202030,Mary,Shenzhen,girl,154.0,90.0,91.0,90.0,77.0,91.0,100.0,70.0,70.0,60.0,0.0,60.0
202039,Claudia,Shanghai,female,165.0,77.0,79.0,84.0,85.0,89.0,90.0,70.0,100.0,70.0,0.0,60.0
202037,Christian,Guangzhou,girl,169.0,74.0,75.0,86.0,60.0,91.0,70.0,80.0,60.0,100.0,0.0,100.0
202038,Leopold,Beijing,boy,170.0,85.0,82.0,90.0,62.0,91.0,90.0,80.0,80.0,60.0,0.0,80.0
202046,Isaac,Shanghai,female,155.0,83.0,76.0,87.0,80.0,85.0,80.0,60.0,70.0,40.0,0.0,80.0
202047,Constance,Shanghai,boy,167.0,77.0,76.0,89.0,63.0,90.0,100.0,60.0,60.0,60.0,0.0,100.0
202044,Wanda,Shenzhen,boy,159.0,81.0,64.0,82.0,67.0,92.0,90.0,70.0,90.0,80.0,0.0,80.0
202045,Cosmo,Beijing,girl,162.0,85.0,73.0,90.0,73.0,91.0,80.0,70.0,80.0,100.0,0.0,100.0
202042,Angelia,Shanghai,male,174.0,82.0,89.0,86.0,55.0,89.0,70.0,70.0,60.0,80.0,0.0,100.0
202043,Nikita,Shanghai,girl,161.0,80.0,80.0,82.0,71.0,91.0,60.0,80.0,50.0,70.0,0.0,100.0
202040,Manda,Beijing,female,163.0,78.0,81.0,91.0,58.0,88.0,80.0,100.0,70.0,80.0,0.0,60.0
202041,Tiffany,Beijing,girl,155.0,83.0,83.0,91.0,77.0,89.0,100.0,80.0,100.0,60.0,0.0,60.0
202048,Leslie,Beijing,girl,157.0,81.0,78.0,85.0,79.0,91.0,100.0,60.0,100.0,80.0,0.0,60.0
202049,Lucy,Beijing,boy,168.0,80.0,94.0,82.0,63.0,90.0,60.0,60.0,100.0,70.0,0.0,40.0
202057,Amy,Beijing,girl,164.0,84.0,79.0,89.0,56.0,90.0,80.0,100.0,90.0,90.0,0.0,60.0
202058,Martha,Guangzhou,boy,162.0,76.0,82.0,78.0,75.0,91.0,100.0,60.0,100.0,80.0,0.0,80.0
202056,Hugo,Guangzhou,boy,165.0,80.0,73.0,89.0,76.0,91.0,60.0,100.0,90.0,60.0,0.0,80.0
202053,Joliet,Guangzhou,female,155.0,80.0,79.0,88.0,60.0,87.0,60.0,80.0,80.0,70.0,0.0,60.0
202054,John,Shenzhen,boy,166.0,81.0,68.0,84.0,60.0,87.0,50.0,60.0,90.0,40.0,0.0,100.0
202051,Ethan,Beijing,boy,165.0,78.0,86.0,88.0,65.0,93.0,50.0,100.0,80.0,60.0,0.0,60.0
202052,Sally,Guangzhou,boy,177.0,81.0,93.0,83.0,69.0,88.0,90.0,80.0,60.0,80.0,0.0,80.0
202050,Zelda,Shanghai,girl,160.0,84.0,76.0,83.0,66.0,90.0,100.0,70.0,100.0,60.0,0.0,80.0
202059,Nicholas,Guangzhou,boy,163.0,80.0,74.0,86.0,74.0,89.0,80.0,80.0,100.0,80.0,0.0,100.0
202068,Lorraine,Shenzhen,boy,162.0,85.0,80.0,73.0,69.0,89.0,100.0,50.0,100.0,70.0,0.0,80.0
202101,Jonathan,Shanghai,boy,163.0,80.0,78.0,91.0,64.0,88.0,90.0,80.0,70.0,50.0,0.0,100.0
202069,Eva,Shenzhen,female,155.0,72.0,92.0,84.0,66.0,92.0,90.0,70.0,100.0,60.0,0.0,60.0
202102,Violet,Shenzhen,female,163.0,76.0,78.0,93.0,78.0,92.0,100.0,90.0,100.0,100.0,0.0,80.0
202066,Geoffrey,Shanghai,female,165.0,80.0,86.0,81.0,67.0,88.0,100.0,60.0,70.0,50.0,0.0,40.0
202067,Maxine,Beijing,boy,166.0,86.0,79.0,83.0,77.0,90.0,60.0,60.0,100.0,60.0,0.0,80.0
202100,Octavia,Shenzhen,girl,164.0,77.0,61.0,84.0,91.0,93.0,70.0,90.0,60.0,80.0,0.0,60.0
202064,Timothy,Beijing,boy,169.0,83.0,87.0,86.0,77.0,94.0,90.0,60.0,100.0,70.0,0.0,80.0
202065,Olivia,Shenzhen,girl,169.0,81.0,70.0,88.0,71.0,89.0,70.0,90.0,100.0,80.0,0.0,100.0
202062,Winnie,Beijing,male,171.0,81.0,84.0,86.0,70.0,90.0,60.0,70.0,100.0,80.0,0.0,60.0
202060,Todd,Guangzhou,male,172.0,76.0,80.0,84.0,66.0,87.0,70.0,90.0,90.0,100.0,0.0,80.0
202061,Marcy,Guangzhou,boy,166.0,77.0,86.0,88.0,78.0,87.0,90.0,60.0,90.0,90.0,0.0,60.0
202109,Edmund,Shanghai,girl,159.0,82.0,78.0,97.0,66.0,91.0,70.0,100.0,80.0,80.0,0.0,60.0
202107,Tamara,Shanghai,female,156.0,81.0,74.0,79.0,68.0,87.0,100.0,60.0,80.0,80.0,0.0,40.0
202108,Robert,Guangzhou,boy,166.0,82.0,79.0,82.0,65.0,89.0,70.0,90.0,90.0,70.0,0.0,60.0
202105,Frederica,Guangzhou,boy,167.0,80.0,97.0,86.0,52.0,89.0,60.0,60.0,90.0,50.0,0.0,80.0
202106,Carry,Shenzhen,girl,167.0,76.0,72.0,83.0,59.0,92.0,80.0,50.0,50.0,90.0,0.0,80.0
202104,Mia,Guangzhou,girl,163.0,85.0,78.0,76.0,68.0,91.0,100.0,70.0,60.0,100.0,0.0,60.0
202079,Henry,Shenzhen,boy,176.0,81.0,88.0,76.0,88.0,92.0,90.0,90.0,90.0,90.0,0.0,60.0
202077,Melissa,Shenzhen,girl,159.0,77.0,87.0,85.0,70.0,91.0,50.0,100.0,90.0,90.0,0.0,60.0
202078,Sheila,Beijing,girl,161.0,79.0,68.0,82.0,83.0,92.0,100.0,60.0,60.0,100.0,0.0,80.0
202075,Demi,Shenzhen,girl,164.0,84.0,67.0,82.0,74.0,92.0,90.0,70.0,50.0,70.0,0.0,60.0
202076,David,Guangzhou,boy,165.0,79.0,84.0,86.0,72.0,93.0,100.0,80.0,90.0,80.0,0.0,80.0
202073,Juliana,Guangzhou,girl,151.0,83.0,71.0,80.0,66.0,87.0,100.0,100.0,60.0,60.0,0.0,80.0
202074,Charlotte,Beijing,girl,160.0,75.0,78.0,81.0,69.0,92.0,90.0,50.0,100.0,50.0,0.0,80.0
202071,Phoebe,Shanghai,male,170.0,78.0,85.0,91.0,68.0,87.0,90.0,60.0,80.0,90.0,0.0,60.0
202072,Karida,Guangzhou,female,149.0,77.0,89.0,82.0,65.0,92.0,100.0,80.0,70.0,90.0,0.0,60.0
202070,Tina,Beijing,boy,173.0,74.0,91.0,80.0,78.0,85.0,90.0,70.0,90.0,100.0,0.0,60.0
202002,Wayne,Shenzhen,girl,159.0,77.0,78.0,89.0,59.0,93.0,100.0,60.0,50.0,90.0,0.0,80.0
202003,Bonnie,Guangzhou,girl,157.0,80.0,81.0,81.0,54.0,91.0,90.0,60.0,70.0,80.0,0.0,80.0
202088,Marshal,Guangzhou,boy,181.0,71.0,73.0,86.0,73.0,88.0,100.0,100.0,80.0,70.0,0.0,80.0
202001,Marks,Shenzhen,boy,166.0,77.0,100.0,84.0,71.0,91.0,60.0,70.0,60.0,80.0,0.0,60.0
202089,Harrison,Shenzhen,boy,164.0,82.0,94.0,84.0,78.0,92.0,70.0,70.0,100.0,90.0,0.0,60.0
202086,Noah,Guangzhou,girl,159.0,82.0,90.0,88.0,73.0,87.0,80.0,90.0,100.0,50.0,0.0,80.0
202087,Dick,Guangzhou,male,174.0,83.0,84.0,81.0,65.0,88.0,50.0,100.0,100.0,100.0,0.0,40.0
202084,Ishara,Shenzhen,boy,175.0,80.0,74.0,86.0,84.0,89.0,60.0,90.0,90.0,50.0,0.0,60.0
202085,lindsay,Beijing,girl,155.0,76.0,63.0,83.0,56.0,89.0,60.0,100.0,80.0,50.0,0.0,60.0
202083,Susan,Shenzhen,male,163.0,79.0,69.0,87.0,43.0,89.0,70.0,70.0,90.0,100.0,0.0,60.0
202080,Ivy,Beijing,girl,153.0,80.0,87.0,84.0,74.0,88.0,60.0,80.0,90.0,80.0,0.0,80.0
202081,Deborah,Shenzhen,boy,165.0,76.0,95.0,84.0,65.0,93.0,100.0,60.0,60.0,60.0,0.0,80.0
